filename,filepath,filesize_bytes,date_obs,date_end,ra,dec,instrument,telescope
L2603311255089B9590BF64_PH00.fits,sc_and_ph/L2603311255089B9590BF64_PH00.fits,528920,2014-09-01T10:50:00.0000,2014-09-01T11:30:00.0000,,,LAT,GLAST
L2603311255089B9590BF64_SC00.fits,sc_and_ph/L2603311255089B9590BF64_SC00.fits,37813,2014-09-01T10:50:00.0000,2014-09-01T11:30:00.0000,,,LAT,GLAST
L2604021201389C9590BF63_PH00.fits,sc_and_ph/L2604021201389C9590BF63_PH00.fits,149760,2011-09-06T22:10:50.0000,2011-09-06T22:47:10.0000,,,LAT,GLAST
L2604021201389C9590BF63_SC00.fits,sc_and_ph/L2604021201389C9590BF63_SC00.fits,31680,2011-09-06T22:10:50.0000,2011-09-06T22:47:10.0000,,,LAT,GLAST
L2604021204279C9590BF75_PH00.fits,sc_and_ph/L2604021204279C9590BF75_PH00.fits,1301760,2012-03-07T00:39:49.9999,2012-03-07T01:20:10.0000,,,LAT,GLAST
L2604021204279C9590BF75_SC00.fits,sc_and_ph/L2604021204279C9590BF75_SC00.fits,31680,2012-03-07T00:39:49.9999,2012-03-07T01:20:10.0000,,,LAT,GLAST
L2604021212529C9590BF63_PH00.fits,sc_and_ph/L2604021212529C9590BF63_PH00.fits,590400,2012-03-07T03:50:49.9999,2012-03-07T04:31:10.0000,,,LAT,GLAST
L2604021212529C9590BF63_SC00.fits,sc_and_ph/L2604021212529C9590BF63_SC00.fits,31680,2012-03-07T03:50:49.9999,2012-03-07T04:31:10.0000,,,LAT,GLAST
L2604021230419C9590BF10_PH00.fits,sc_and_ph/L2604021230419C9590BF10_PH00.fits,385920,2012-03-07T07:01:49.9999,2012-03-07T07:42:10.0000,,,LAT,GLAST
L2604021230419C9590BF10_SC00.fits,sc_and_ph/L2604021230419C9590BF10_SC00.fits,31680,2012-03-07T07:01:49.9999,2012-03-07T07:42:10.0000,,,LAT,GLAST
L2604021231609C9590BF98_PH00.fits,sc_and_ph/L2604021231609C9590BF98_PH00.fits,115200,2012-03-07T10:13:49.9999,2012-03-07T10:54:10.0000,,,LAT,GLAST
L2604021231609C9590BF98_SC00.fits,sc_and_ph/L2604021231609C9590BF98_SC00.fits,28800,2012-03-07T10:13:49.9999,2012-03-07T10:54:10.0000,,,LAT,GLAST
L260412043021F357373F92_PH00.fits,sc_and_ph/L260412043021F357373F92_PH00.fits,1198080,2012-07-06T00:08:09.9999,2012-07-06T23:19:49.9999,,,LAT,GLAST
L260412043021F357373F92_SC00.fits,sc_and_ph/L260412043021F357373F92_SC00.fits,406080,2012-07-06T00:08:09.9999,2012-07-06T23:19:49.9999,,,LAT,GLAST
L260413014249F357373F81_PH00.fits,sc_and_ph/L260413014249F357373F81_PH00.fits,97920,2013-05-14T02:42:50.0000,2013-05-14T03:31:10.0000,,,LAT,GLAST
L260413014249F357373F81_SC00.fits,sc_and_ph/L260413014249F357373F81_SC00.fits,34560,2013-05-14T02:42:50.0000,2013-05-14T03:31:10.0000,,,LAT,GLAST
L260413014351F357373F29_PH00.fits,sc_and_ph/L260413014351F357373F29_PH00.fits,144000,2013-10-11T06:55:50.0000,2013-10-11T07:39:10.0000,,,LAT,GLAST
L260413014351F357373F29_SC00.fits,sc_and_ph/L260413014351F357373F29_SC00.fits,31680,2013-10-11T06:55:50.0000,2013-10-11T07:39:10.0000,,,LAT,GLAST
L260413014516F357373F85_PH00.fits,sc_and_ph/L260413014516F357373F85_PH00.fits,521280,2014-02-25T01:08:50.0000,2014-02-25T01:29:10.0000,,,LAT,GLAST
L260413014516F357373F85_SC00.fits,sc_and_ph/L260413014516F357373F85_SC00.fits,25920,2014-02-25T01:08:50.0000,2014-02-25T01:29:10.0000,,,LAT,GLAST
L260413014609F357373F11_PH00.fits,sc_and_ph/L260413014609F357373F11_PH00.fits,112320,2014-02-25T04:19:50.0000,2014-02-25T04:40:10.0000,,,LAT,GLAST
L260413014609F357373F11_SC00.fits,sc_and_ph/L260413014609F357373F11_SC00.fits,25920,2014-02-25T04:19:50.0000,2014-02-25T04:40:10.0000,,,LAT,GLAST
L260413014942F357373F14_PH00.fits,sc_and_ph/L260413014942F357373F14_PH00.fits,230400,2017-09-10T15:51:50.9999,2017-09-10T16:28:10.9999,,,LAT,GLAST
L260413014942F357373F14_SC00.fits,sc_and_ph/L260413014942F357373F14_SC00.fits,31680,2017-09-10T15:51:50.9999,2017-09-10T16:28:10.9999,,,LAT,GLAST
L260413015015F357373F09_PH00.fits,sc_and_ph/L260413015015F357373F09_PH00.fits,449280,2017-09-10T19:02:50.9999,2017-09-10T19:39:10.9999,,,LAT,GLAST
L260413015015F357373F09_SC00.fits,sc_and_ph/L260413015015F357373F09_SC00.fits,31680,2017-09-10T19:02:50.9999,2017-09-10T19:39:10.9999,,,LAT,GLAST
L260413015051F357373F73_PH00.fits,sc_and_ph/L260413015051F357373F73_PH00.fits,106560,2017-09-10T22:12:50.9999,2017-09-10T22:49:10.9999,,,LAT,GLAST
L260413015051F357373F73_SC00.fits,sc_and_ph/L260413015051F357373F73_SC00.fits,31680,2017-09-10T22:12:50.9999,2017-09-10T22:49:10.9999,,,LAT,GLAST
L260413015431F357373F46_PH00.fits,sc_and_ph/L260413015431F357373F46_PH00.fits,149760,2011-09-06T22:10:50.0000,2011-09-06T22:47:10.0000,,,LAT,GLAST
L260413015431F357373F46_SC00.fits,sc_and_ph/L260413015431F357373F46_SC00.fits,31680,2011-09-06T22:10:50.0000,2011-09-06T22:47:10.0000,,,LAT,GLAST
